Address,PermitNumber,Units
"375 GLEN DRIVE, Vancouver, BC",BP-2021-05332,168
"1511 DAVIE STREET, Vancouver, BC V6G 3A2",BP-2019-05309,4
"180 E 2ND AVENUE, Vancouver, BC V5T 1B5",BP-2017-06401,33
"2711 WARD STREET, Vancouver, BC V5R 4S7",BP-2020-02205,3
"6810 ASH STREET, Vancouver, BC",BP-2021-04885,3
"6818 ASH STREET, Vancouver, BC V6P 3K4",BP-2021-04886,2
"6864 ASH STREET, Vancouver, BC",BP-2021-04892,6
"6988 ASH STREET, Vancouver, BC V6P 3K4",BP-2020-01973,42
"557 W 54TH AVENUE, Vancouver, BC",BP-2021-04342,7
"1365 E 24TH AVENUE, Vancouver, BC V5V 2B6",BP-2021-06070,3
"5289 CAMBIE STREET, Vancouver, BC V5Z 2Z6",BP-2018-06002,24
"5189 CAMBIE STREET, Vancouver, BC V5Z 2Z6",BP-2018-06001,24
"5259 CAMBIE STREET, Vancouver, BC V5Z 2Z6",BP-2018-06004,4
"545 E CORDOVA STREET, Vancouver, BC V6A 1L8",BP-2022-00199,20
"1060 W 15TH AVENUE, Vancouver, BC V6H 1R6",BP-2017-01413,2
"196 W 16TH AVENUE, Vancouver, BC",BP-2022-00086,4
"3590 W 39TH AVENUE, Vancouver, BC V1V 1V1",BP-2019-02781,15
"1981 MACDONALD STREET, Vancouver, BC V6K 1M7",BP-2022-02111,59
"2435 KINGSWAY, Vancouver, BC V5R 5G9",BP-2018-03156,118
"4118 CAMBIE STREET, Vancouver, BC V5Z 2Y1",BP-2019-04184,90
"2435 KINGSWAY, Vancouver, BC V5R 5G9",BP-2017-05718,118
"7171 VICTORIA DRIVE, Vancouver, BC V5P 3Y9",BP-2017-05852,25
"1717 LORNE STREET, Vancouver, BC V1V 1V1",BP-2019-04146,216
"3833 FRASER STREET, Vancouver, BC V5V 4E3",BP-2020-01170,125
"375 W 59TH AVENUE, Vancouver, BC V5X 1X3",BP-2017-05889,55
"805 W 49TH AVENUE, Vancouver, BC V5Z 2S5",BP-2021-06890,5
"755 W 49TH AVENUE, Vancouver, BC",BP-2021-06900,4
"795 W 49TH AVENUE, Vancouver, BC",BP-2021-06898,5
"1768 COOK STREET, Vancouver, BC V1V 1V1",BP-2016-02518,247
"1463 W 8TH AVENUE, Vancouver, BC V6H 1C9",BP-2017-03685,150
"7887 FRENCH STREET, Vancouver, BC V6P 4V8",BP-2017-01501,9
"811 W 15TH AVENUE, Vancouver, BC V5Z 1R8",BP-2017-05164,3
None,BP-2017-04038,47
"3572 GLEN DRIVE, Vancouver, BC",BP-2021-03038,9
"2291 MARLIN QUAY, Vancouver, BC",BP-2022-00356,2
"633 W KING EDWARD AVENUE, Vancouver, BC",BP-2018-00429,24
"2625 GUELPH STREET, Vancouver, BC V5T 4J8",BP-2017-01807,3
"1716 NAPIER STREET, Vancouver, BC V5L 2N2",BP-2017-00644,8
"488 BROUGHTON STREET, Vancouver, BC V6G 2H4",BP-2021-02939,60
"4128 YUKON STREET, Vancouver, BC V1V 1V1",BP-2017-06084,8
"4122 YUKON STREET, Vancouver, BC V1V 1V1",BP-2017-06085,8
"288 W KING EDWARD AVENUE, Vancouver, BC V1V 1V1",BP-2017-06082,8
"368 LAKEWOOD DRIVE, Vancouver, BC V1V 1V1",BP-2018-05883,42
"2888 ARBUTUS STREET, Vancouver, BC V6J 3Y7",BP-2018-05941,20
"5118 CAMBIE STREET, Vancouver, BC V5Z 2Z7",BP-2019-00403,12
"3198 RIVERWALK AVENUE, Vancouver, BC",BP-2017-04521,76
"198 ONTARIO PLACE, Vancouver, BC V5W 1S2",BP-2020-02434,12
"1528 W 28TH AVENUE, Vancouver, BC V6J 2Y5",BP-2020-01692,4
"825 NICOLA STREET, Vancouver, BC V6G 2C4",BP-2018-00214,128
"520 W 28TH AVENUE, Vancouver, BC V5Z 2H1",BP-2021-00194,8
"570 W 28TH AVENUE, Vancouver, BC V5Z 2H1",BP-2021-00200,8
"540 W 28TH AVENUE, Vancouver, BC V5Z 2H1",BP-2021-00197,8
"2096 W 47TH AVENUE, Vancouver, BC V6M 2M4",BP-2019-03846,46
"1986 STAINSBURY AVENUE, Vancouver, BC V5N 2M7",BP-2020-03554,24
"1120 E GEORGIA STREET, Vancouver, BC V6A 2A8",BP-2021-00180,50
"851 W 33RD AVENUE, Vancouver, BC V5Z 2K5",BP-2021-05502,49
"3819 BOUNDARY ROAD, Vancouver, BC V5R 2M4",BP-2018-03261,23
"2485 LARCH STREET, Vancouver, BC V1V 1V1",BP-2018-01574,24
"94 W KING EDWARD AVENUE, Vancouver, BC V5Y 2H7",BP-2019-04497,51
"1660 E 5TH AVENUE, Vancouver, BC V5N 1L7",BP-2020-02536,8
"5106 CHAMBERS STREET, Vancouver, BC V5R 3L9",BP-2021-04615,12
"944 E 8TH AVENUE, Vancouver, BC V5T 1T8",BP-2018-00166,15
"3455 E HASTINGS STREET, Vancouver, BC V5K 2A5",BP-2020-03319,48
"4770 DUCHESS STREET, Vancouver, BC V5R 3L5",BP-2020-00573,6
"5168 CAMBIE STREET, Vancouver, BC V5Z 2Z7",BP-2019-04505,81
"3350 PRINCE ALBERT STREET, Vancouver, BC",BP-2021-04425,103
"137 E 37TH AVENUE, Vancouver, BC V1V 1V1",BP-2018-02617,46
"6820 ASH STREET, Vancouver, BC",BP-2021-04887,6
"6888 ASH STREET, Vancouver, BC V6P 3K4",BP-2021-04893,3
"6846 ASH STREET, Vancouver, BC",BP-2021-04889,3
"6912 ASH STREET, Vancouver, BC",BP-2021-04332,5
"6902 ASH STREET, Vancouver, BC",BP-2021-04331,5
"6988 ASH STREET, Vancouver, BC V6P 3K4",BP-2021-04340,6
"6942 ASH STREET, Vancouver, BC",BP-2021-04336,6
"8605 LAUREL STREET, Vancouver, BC V6P 3V5",BP-2018-02944,65
"2468 BALACLAVA STREET, Vancouver, BC V6H 2H1",BP-2016-00367,71
"3636 W 39TH AVENUE, Vancouver, BC V1V 1V1",BP-2018-04327,29
"4118 COLUMBIA STREET, Vancouver, BC V5Y 4B4",BP-2019-04869,36
"6328 CAMBIE STREET, Vancouver, BC V5Z 3B4",BP-2017-02070,48
"1708 ONTARIO STREET, Vancouver, BC V5T 1A1",BP-2016-00392,140
"2551 KINGSWAY, Vancouver, BC V5R 5H3",BP-2017-02972,12
"3709 W BROADWAY, Vancouver, BC V6R 2B9",BP-2021-02359,164
"5083 JOYCE STREET, Vancouver, BC V5R 5G7",BP-2021-02468,360
"8705 FRENCH STREET, Vancouver, BC V6P 4W9",BP-2021-05694,100
"3329 KINGSWAY, Vancouver, BC V5R 5K6",BP-2021-00903,12
"128 W WOODSTOCK AVENUE, Vancouver, BC",BP-2019-03289,20
"1492 W 57TH AVENUE, Vancouver, BC V1V 1V1",BP-2017-00708,5
"1715 COOK STREET, Vancouver, BC V5Y 3T2",BP-2018-06079,104
"5470 ORMIDALE STREET, Vancouver, BC V5R 4P9",BU461240,332
"187 W KING EDWARD AVENUE, Vancouver, BC V5Y 2H8",BP-2021-05329,16
"2789 ALAMEIN AVENUE, Vancouver, BC V1V 1V1",BP-2017-05933,8
"1155 VICTORIA DRIVE, Vancouver, BC V5L 4G4",BP-2017-04390,4
"778 W 27TH AVENUE, Vancouver, BC V5Z 2G6",BP-2021-00004,11
"6733 CAMBIE STREET, Vancouver, BC V6P 3H1",BP-2017-04627,56
"2666 DUKE STREET, Vancouver, BC V5R 4S9",BP-2018-00982,30
"7659 GRANVILLE STREET, Vancouver, BC V6P 4Y8",BP-2019-04316,18
"3522 MAIN STREET, Vancouver, BC V5V 3N3",BP-2020-03118,34
"7571 OAK STREET, Vancouver, BC V6P 4A4",BP-2019-05459,4
"7555 YUKON STREET, Vancouver, BC V1V 1V1",BP-2018-02865,7
"7525 YUKON STREET, Vancouver, BC V1V 1V1",BP-2018-02866,8
"7525 YUKON STREET, Vancouver, BC V1V 1V1",BP-2017-02965,24
"7551 OAK STREET, Vancouver, BC V6P 4A4",BP-2019-05458,6
"6168 EAST BOULEVARD, Vancouver, BC V6M 3V6",BP-2016-02327,30
"5007 ASH STREET, Vancouver, BC V5Z 3G3",BP-2021-02113,33
"1988 WYLIE STREET, Vancouver, BC V5Y 3N6",BP-2017-05945,133
"410 W GEORGIA STREET, Vancouver, BC V6B 1Z3",BP-2017-06666,138
"23 W CORDOVA STREET, Vancouver, BC V6B 1C8",BP-2018-00472,80
"5718 CHOY YUEN CRESCENT, Vancouver, BC",BP-2022-03566,187
"6322 OAK STREET, Vancouver, BC",BP-2022-00231,3
"6362 OAK STREET, Vancouver, BC",BP-2022-00233,4
"6360 OAK STREET, Vancouver, BC",BP-2022-00232,3
"6256 OAK STREET, Vancouver, BC",BP-2022-00227,8
"6382 OAK STREET, Vancouver, BC",BP-2022-00234,7
"8030 OAK STREET, Vancouver, BC V6P 4A7",BP-2019-04181,132
"8138 FRASER STREET, Vancouver, BC V1V 1V1",BP-2018-02735,160
"475 W 28TH AVENUE, Vancouver, BC V5Y 2K9",BP-2021-05438,6
"477 W 28TH AVENUE, Vancouver, BC",BP-2021-05437,8
"469 W 28TH AVENUE, Vancouver, BC",BP-2021-05440,10
"3350 TUPPER STREET, Vancouver, BC V1V 1V1",BP-2016-00384,4
"365 E 16TH AVENUE, Vancouver, BC V1V 1V1",BU467449,12
"355 E 16TH AVENUE, Vancouver, BC",BP-2017-00508,6
"3343 WINDSOR STREET, Vancouver, BC V5V 4N1",BP-2019-01127,3
"321 E 16TH AVENUE, Vancouver, BC V5T 2T7",BP-2017-00120,10
"311 E 16TH AVENUE, Vancouver, BC V5T 2T7",BP-2017-00122,10
"1188 BIDWELL STREET, Vancouver, BC V6G 2K6",BP-2016-02886,108
"536 E 8TH AVENUE, Vancouver, BC V5T 1S8",BP-2019-00509,18
"2688 DUKE STREET, Vancouver, BC V6R 4S9",BP-2017-05669,23
"543 W 29TH AVENUE, Vancouver, BC V5Z 2H8",BP-2019-05679,4
"537 W 29TH AVENUE, Vancouver, BC V5Z 2H8",BP-2019-05677,3
"559 W 29TH AVENUE, Vancouver, BC V5Z 2H8",BP-2019-05681,4
"515 W 29TH AVENUE, Vancouver, BC V5Z 2H8",BP-2019-05674,4
"551 W 29TH AVENUE, Vancouver, BC V5Z 2H8",BP-2019-05680,4
"2121 W 7TH AVENUE, Vancouver, BC V6K 1X9",BP-2019-04343,6
"2366 BIRCH STREET, Vancouver, BC V1V 1V1",BP-2019-02443,23
"8111 SHAUGHNESSY STREET, Vancouver, BC V6P 3X9",BP-2017-00430,7
"8131 SHAUGHNESSY STREET, Vancouver, BC V1V 1V1",BP-2017-00431,4
"2717 HORLEY STREET, Vancouver, BC V5R 4R7",BP-2016-00298,10
"2034 FRANKLIN STREET, Vancouver, BC V5L 1R3",BP-2016-01230,4
"481 W 26TH AVENUE, Vancouver, BC V5Z 2Y1",BU468734,58
"388 KASLO STREET, Vancouver, BC",BP-2016-00814,94
"3639 W 16TH AVENUE, Vancouver, BC V6R 3C3",BP-2017-01403,29
"155 W 41ST AVENUE, Vancouver, BC V1V 1V1",BP-2018-01295,18
"2743 DUKE STREET, Vancouver, BC V5R 4S8",BP-2018-06605,3
"5150 SLOCAN STREET, Vancouver, BC V5R 2A5",BP-2019-02266,4
"2298 E 33RD AVENUE, Vancouver, BC V5N 3G1",BP-2019-00912,9
"5005 CLARENDON STREET, Vancouver, BC V1V 1V1",BP-2016-03730,9
"2384 E 34TH AVENUE, Vancouver, BC V1V 1V1",BP-2016-03441,9
"5031 CHAMBERS STREET, Vancouver, BC V5R 3L8",BU467584,8
"539 E 6TH AVENUE, Vancouver, BC V5T 1K9",BP-2018-02006,6
"8530 OSLER STREET, Vancouver, BC",BU468747,18
"7861 OAK STREET, Vancouver, BC V1V 1V1",BU468736,40
"7801 OAK STREET, Vancouver, BC V1V 1V1",BU468737,40
"7823 OAK STREET, Vancouver, BC V1V 1V1",BU468739,40
"4519 EARLES STREET, Vancouver, BC V5R 3R1",BP-2016-03952,6
"7790 CAMBIE STREET, Vancouver, BC V6P 3H7",BP-2017-03804,25
"3420 ST. CATHERINES STREET, Vancouver, BC V5V 4K8",BP-2016-04470,19
"2062 E 8TH AVENUE, Vancouver, BC V5N 1V2",BP-2021-03211,3
None,BP-2017-01331,148
"477 W 59TH AVENUE, Vancouver, BC V5X 1X4",BP-2018-00271,43
"5155 MAIN STREET, Vancouver, BC V5W 2R4",BP-2019-04525,62
"1009 LAURIER AVENUE, Vancouver, BC V1V 1V1",BU467957,11
"6999 CAMBIE STREET, Vancouver, BC V1V 1V1",BP-2017-01022,24
"8558 OSLER STREET, Vancouver, BC",BU468749,18
"703 VICTORIA DRIVE, Vancouver, BC V5L 4E5",BP-2017-02778,6
"1111 RICHARDS STREET, Vancouver, BC V6B 5C7",BU468090,191
"4240 CAMBIE STREET, Vancouver, BC V5Z 2Y4",BP-2018-06374,58
"2105 W 46TH AVENUE, Vancouver, BC V6M 2L2",BP-2020-02836,54
"4232 CAMBIE STREET, Vancouver, BC V5Z 2Y4",BP-2020-00384,4
"4222 CAMBIE STREET, Vancouver, BC V5Z 2Y4",BP-2020-00386,2
"6521 FREMLIN STREET, Vancouver, BC V6P 3W1",BP-2021-02058,8
"1818 ALBERNI STREET, Vancouver, BC V6G 1B3",BP-2018-04683,126
"4189 YEW STREET, Vancouver, BC",BP-2021-02402,266
"1580 VERNON DRIVE, Vancouver, BC V6A 0J6",BP-2020-04029,52
"928 COMMERCIAL DRIVE, Vancouver, BC V5L 3W7",BP-2017-06129,10
"7887 FRENCH STREET, Vancouver, BC V6P 4V8",BP-2017-02670,4
"7871 FRENCH STREET, Vancouver, BC V6P 4V8",BP-2017-02672,5
"1187 E 15TH AVENUE, Vancouver, BC V5T 2S7",BP-2019-00967,3
"1560 E 10TH AVENUE, Vancouver, BC",BP-2021-04746,4
"1074 CARDERO STREET, Vancouver, BC V6G 2H3",BP-2020-03954,5
